ttp,Nitro,Scarab,FIN7,Waterbug,Hidden Cobra,TA505,Quedagh,Tick,TwoForOne,Patchwork,APT28,APT1,MageCart,SEA,Darkhotel,Energetic Bear,MuddyWater,Rocke,APT29,Molerats,Silence
T1583,0.04107170179486275,0.05696146935224533,0.06861328333616257,0.05207917094230652,0.032849233597517014,0.04033125191926956,0.04198731109499931,0.03625393286347389,0.034251581877470016,0.07591646909713745,0.040253713726997375,0.03415385261178017,0.05366681516170502,0.06469803303480148,0.03527276590466499,0.04194397106766701,0.04734783247113228,0.050503652542829514,0.045888081192970276,0.044198568910360336,0.061757367104291916
T1555,0.034852784126996994,0.04424670711159706,0.04268653318285942,0.04058314859867096,0.0390893779695034,0.05942724272608757,0.05562425032258034,0.04215094819664955,0.049622055143117905,0.060260992497205734,0.023869352415204048,0.05411728098988533,0.06623921543359756,0.06040474399924278,0.04239664599299431,0.06185687705874443,0.04694971442222595,0.04242999851703644,0.0459517277777195,0.05168857052922249,0.03555179014801979
T1056,0.030425943434238434,0.034780267626047134,0.04806835949420929,0.05311813950538635,0.0328906886279583,0.06145021319389343,0.03716035187244415,0.044514238834381104,0.03689981997013092,0.050294164568185806,0.03797895461320877,0.04566413536667824,0.08088366687297821,0.07650099694728851,0.038679659366607666,0.05442739278078079,0.044921621680259705,0.039746806025505066,0.053454820066690445,0.05160810425877571,0.04653166979551315
T1552,0.04107074439525604,0.04505537077784538,0.0505613349378109,0.04723833128809929,0.028782136738300323,0.04553067311644554,0.044102743268013,0.04000088572502136,0.04278922453522682,0.0655021220445633,0.034910447895526886,0.048905592411756516,0.05999566987156868,0.0661873146891594,0.04497621953487396,0.058895692229270935,0.041729886084795,0.053264372050762177,0.053763870149850845,0.04642844572663307,0.04030889272689819
T1040,0.029655221849679947,0.03854599967598915,0.035454701632261276,0.04899346083402634,0.03066362626850605,0.05206296220421791,0.053274285048246384,0.04010647162795067,0.044391144067049026,0.06751851737499237,0.026140080764889717,0.04359322413802147,0.06055815517902374,0.08315116167068481,0.04015710949897766,0.06498610973358154,0.04656202346086502,0.04508379474282265,0.0517924502491951,0.05840116739273071,0.03890829533338547
T1125,0.01960994489490986,0.05186513811349869,0.022291800007224083,0.06133843585848808,0.019256550818681717,0.02998111955821514,0.039079662412405014,0.050327640026807785,0.03223508223891258,0.08317810297012329,0.03529730066657066,0.039533231407403946,0.04250919818878174,0.14043648540973663,0.02701767161488533,0.05291241779923439,0.046583980321884155,0.05175057053565979,0.034114859998226166,0.05739716440439224,0.06328361481428146
T1113,0.03044399805366993,0.045505620539188385,0.04024028778076172,0.05736205354332924,0.029622254893183708,0.044278647750616074,0.036341212689876556,0.043364182114601135,0.03640824183821678,0.06893135607242584,0.04545019194483757,0.04082564264535904,0.060699522495269775,0.09716971218585968,0.0341208279132843,0.045041222125291824,0.048984140157699585,0.04624496027827263,0.03886685520410538,0.05293610692024231,0.057162974029779434
T1114,0.0356399342417717,0.03497852757573128,0.02715430036187172,0.06973250210285187,0.026491286233067513,0.04451165348291397,0.025426436215639114,0.03725164383649826,0.044160716235637665,0.07474017888307571,0.05587232485413551,0.04383963719010353,0.05764545500278473,0.08191338181495667,0.04676937311887741,0.046670231968164444,0.05360997095704079,0.04783398658037186,0.04217178747057915,0.05644664168357849,0.04714006558060646
T1530,0.028222233057022095,0.03714842349290848,0.023617420345544815,0.06292728334665298,0.023923669010400772,0.04621680825948715,0.04282014071941376,0.042812637984752655,0.052620213478803635,0.07011757045984268,0.040431711822748184,0.05368710681796074,0.056315042078495026,0.09021230041980743,0.04445914179086685,0.057113099843263626,0.04698869585990906,0.049078233540058136,0.03670115768909454,0.05497368052601814,0.039613403379917145
T1543,0.04865148663520813,0.025453226640820503,0.045924074947834015,0.06860681623220444,0.06426426768302917,0.07716208696365356,0.025340979918837547,0.04464256763458252,0.04779965057969093,0.028393346816301346,0.05874514952301979,0.051756344735622406,0.08626832813024521,0.04010416939854622,0.05004670098423958,0.03894919157028198,0.03996962308883667,0.03242301940917969,0.048412732779979706,0.04205402731895447,0.03503217175602913
T1546,0.03892229497432709,0.029615841805934906,0.026969395577907562,0.0851329118013382,0.03111947886645794,0.051200997084379196,0.024947933852672577,0.039779942482709885,0.05442233383655548,0.06446927785873413,0.04111709073185921,0.048160869628190994,0.07566642016172409,0.06305552273988724,0.04513408616185188,0.04794161021709442,0.04512069746851921,0.045602720230817795,0.04770544171333313,0.055655013769865036,0.038260139524936676
T1547,0.04835696145892143,0.03727683797478676,0.044769663363695145,0.06807440519332886,0.03766811639070511,0.04770858213305473,0.0275567676872015,0.04020056873559952,0.047340862452983856,0.05680811405181885,0.05230468139052391,0.046953532844781876,0.0623948760330677,0.056714583188295364,0.04790675267577171,0.0432293638586998,0.04686848819255829,0.047375407069921494,0.047850750386714935,0.048644255846738815,0.043996430933475494
T1136,0.03707918897271156,0.029723303392529488,0.03878076747059822,0.06336382776498795,0.051008448004722595,0.07328680157661438,0.031188489869236946,0.0465315543115139,0.04222436249256134,0.03756163641810417,0.047951605170965195,0.0462987907230854,0.08892038464546204,0.06365862488746643,0.040961045771837234,0.04570723697543144,0.04163750261068344,0.03635716810822487,0.04796134680509567,0.0480881966650486,0.04170973598957062
T1052,0.020861446857452393,0.029165519401431084,0.025460051372647285,0.05830885469913483,0.03189634904265404,0.060886450111866,0.049414683133363724,0.04450889304280281,0.0438217893242836,0.05436568707227707,0.02998531237244606,0.045102402567863464,0.053467556834220886,0.10219891369342804,0.03957704082131386,0.0633988007903099,0.05922047793865204,0.03298112377524376,0.0442362055182457,0.06931748241186142,0.041824985295534134
T1102,0.03506765514612198,0.04282916337251663,0.038033969700336456,0.0696454867720604,0.02951948344707489,0.03999875858426094,0.03134162351489067,0.04260685667395592,0.04042902588844299,0.0796627551317215,0.04149984195828438,0.043180547654628754,0.05744365230202675,0.07891704142093658,0.03545619919896126,0.04529425874352455,0.044271040707826614,0.052721768617630005,0.045339759439229965,0.05132390186190605,0.055417221039533615
T1595,0.035940125584602356,0.04600762575864792,0.05202177166938782,0.06351332366466522,0.03534363582730293,0.04686730355024338,0.03549599274992943,0.050742022693157196,0.03602120652794838,0.06134427338838577,0.03999001905322075,0.047111764550209045,0.06887964904308319,0.06508803367614746,0.033176593482494354,0.046823836863040924,0.03571818023920059,0.056253183633089066,0.04800642654299736,0.04184941574931145,0.05380561202764511
T1594,0.038668856024742126,0.047074850648641586,0.04152633622288704,0.058407120406627655,0.0399777814745903,0.039839453995227814,0.0344010591506958,0.03661516681313515,0.037562694400548935,0.0692344456911087,0.059049367904663086,0.0290155541151762,0.04184367135167122,0.0649532675743103,0.038979195058345795,0.03570794314146042,0.06383620202541351,0.051230788230895996,0.04493769258260727,0.055058591067790985,0.07207994163036346
T1105,0.03214576467871666,0.04077506810426712,0.04511645808815956,0.05456441268324852,0.03910291567444801,0.05564504489302635,0.046079594641923904,0.04680828005075455,0.04057462140917778,0.0523027665913105,0.03403659164905548,0.04618365317583084,0.06731381267309189,0.07646592706441879,0.03767726942896843,0.05459810793399811,0.04283399507403374,0.04226657375693321,0.04795772582292557,0.051446374505758286,0.04610496014356613
